	shannon
SRS049355.571651	3.0129534883331393
SRS011615.570545	2.4666583767386
SRS018288.574164	1.115836842406859
SRS051255.574747	1.206807336315039
SRS056854.575862	2.2223625351871434
SRS065165.572777	2.3273840185044863
SRS057898.572899	4.368171386492887
SRS045119.572501	6.926098050138848
SRS024308.576122	1.1132698263584913
SRS014339.571705	0.841164623157726
SRS015736.574850	1.9040963609237391
SRS056514.572488	1.359804957261439
SRS063444.574875	1.5991273676252973
SRS017561.576417	1.3092934894924981
SRS014782.570498	1.1637081983648538
SRS023711.570793	1.5874262355761433
SRS018769.575381	1.3646809129002115
SRS022012.574112	1.259035523901716
SRS023342.570388	1.4414222252932771
SRS023340.575303	1.892843417465084
SRS024431.572065	1.6019404022681618
SRS023713.574561	1.200014471153393
SRS023344.574858	1.0621140573441505
SRS018765.570663	2.2522480953217063
SRS064618.570605	4.103624813519563
SRS043875.571854	1.5205281546179295
SRS011682.574630	2.2730899567485117
SRS011525.570338	1.4463453959409387
SRS065347.572242	1.0742592199899677
SRS056981.574306	1.071267082691937
SRS054553.571417	1.4747596811361927
SRS043066.576460	2.6577962887457445
SRS011619.573243	1.2103593396948016
SRS048570.573904	2.0938174824922884
SRS050939.570716	1.4483524690140694
SRS023891.570308	2.492264909816745
SRS022962.570913	2.191645793109878
SRS017559.576251	1.6754226727306103
SRS015147.574245	1.5890950873983005
SRS022711.574662	1.5009633865957508
SRS024308.576509	1.136767748051201
SRS023145.570507	2.657239884444565
SRS057292.574151	1.0726586604047814
SRS022707.575943	2.944473723563654
SRS044456.572620	1.50117347482774
SRS048843.576492	3.926514187076392
SRS044456.574716	1.5793868950836207
SRS022522.574863	1.630284410420676
SRS053420.571594	1.658005263911706
SRS024429.575911	1.865729518507732
SRS024433.573677	1.545467497211199
SRS014778.571995	1.2859529503011333
SRS015508.572255	1.1368398183413155
SRS014780.571450	1.2472437656302124
SRS050791.570506	2.168339815659084
SRS017741.571782	1.1414496380500276
SRS014444.575059	1.5357118932422003
SRS056693.574595	1.7276369331348067
SRS011525.570248	1.4019954034095468
SRS016559.574139	2.160456477325749
SRS054341.573678	1.272650623232801
SRS057900.571743	1.3916626862276071
SRS022008.570459	1.5577330653341834
SRS011651.573281	1.9852976745989805
SRS015015.573230	1.8378934510244034
SRS023893.573659	2.630364027775195
SRS051384.573445	2.2211467422290534
SRS021213.572286	1.9482441743016885
SRS021404.570274	2.479708363422938
SRS063210.575002	1.7701193663562462
SRS020032.573522	1.1406736686250443
SRS053877.573643	4.155190320407118
SRS048275.576257	1.9594329725770572
SRS050220.573948	1.4624856768860446
SRS011446.574070	2.0281623856180477
SRS045807.570676	2.090284875958115
SRS050081.571496	1.6460164579624168
SRS064033.573525	1.332596666329165
SRS022964.571896	1.634797462907967
SRS062889.570467	1.3209498914474336
SRS053478.572398	1.1853992008341308
SRS062893.576074	1.3288360413346842
SRS024429.576463	1.882686631303042
SRS052037.573303	2.190700051246856
SRS016625.573681	1.9086024198187852
SRS051255.573730	1.2988324602635095
SRS050472.571357	1.7408157072854367
SRS016217.575060	2.200214244759852
SRS011450.576138	1.991585191245479
SRS043580.574874	1.2388185428465617
SRS011523.571521	1.6459482649327033
SRS042322.571882	1.5915965230649831
SRS018292.574526	0.9677303469800357
SRS064034.570648	1.6253022138114437
SRS016623.572249	1.8175407808694655
SRS044902.575279	2.5279712921625253
SRS011450.576328	1.9879021009894948
SRS021766.571656	1.3294395895272366
SRS021762.574895	1.7890181322731078
SRS018767.574335	1.1880746526821278
SRS065365.571906	1.137613218794101
SRS049597.573618	1.1694608656944534
SRS022199.575326	1.9401442974546113
SRS042246.572414	1.5203909308348176
SRS011619.576124	1.201754233075937
SRS015740.575360	1.0308942076192777
SRS022964.576287	1.4936942361130026
SRS053293.571487	1.5096724064693132
SRS049396.574725	2.1206017963085952
SRS042320.572727	4.229910337294384
SRS011446.573060	2.0961023712722318
SRS022966.571187	1.3884203304669234
SRS022197.575873	3.7814958934226945
SRS022331.570975	1.6719271338623802
SRS022333.575569	1.401010845319044
SRS022329.575755	1.6841969133950392
SRS011686.572513	1.383366101392663
SRS011523.572919	1.4917217188968004
SRS016627.574609	1.811975420730183
SRS015145.574148	1.352529411980852
SRS063298.574430	1.9982339487356777
SRS015738.570804	0.9807549531296614
SRS062985.572383	2.4187551954580306
SRS051631.571492	6.456784372184957
SRS015204.574093	1.4500931880242693
SRS052468.570727	3.017775119115862
SRS045850.573421	1.0055422937651215
SRS015504.570297	1.4350588659288195
SRS011527.575481	1.4008517917050043
SRS049947.576161	1.4397671273550876
SRS062896.571541	1.7140673691902124
SRS022008.576448	1.4292731285572258
SRS011584.573592	0.5885213781434032
SRS043395.572943	0.8961788163450991
SRS015506.574871	1.5087354299363342
SRS062739.574522	2.7459155578608407
SRS014835.573005	1.8766451762595735
SRS056161.574678	1.1725930429127402
SRS046126.572633	2.314490659508232
SRS011615.573509	2.5052524002343945
SRS044948.573899	3.2256939339264035
SRS053478.573381	0.9680126596428136
SRS055825.572599	1.1157970049541428
SRS064682.570289	1.426057507785591
SRS051012.570742	1.6974055024049717
SRS011686.570468	1.382912355259535
SRS063522.574124	1.9427290356350948
SRS064975.574709	1.7263502350463638
SRS050522.574571	2.5817972739899835
SRS058297.574840	1.5276848740480118
SRS015011.574387	3.155984382749172
SRS048610.570355	2.4930728861722438
SRS024306.574305	1.4624761823444832
SRS022010.573589	1.289840220029071
SRS017557.572608	5.037633673500305
SRS049964.572118	2.2724481761447857
SRS064648.576162	2.4059448274032085
SRS053253.574198	2.970999998866298
SRS024431.571196	1.8330988173406764
SRS058650.574668	1.0354831175209624
SRS011684.571257	1.973979935674645
SRS014448.571745	1.0862165998806368
SRS053714.574461	1.6776519677503645
SRS063153.575092	1.1792402690575134
SRS017561.571917	1.1476070383341197
SRS044750.571529	4.1640793454351845
SRS021105.575249	1.6469475185640159
SRS021147.576358	2.6264928465475896
SRS021107.576111	1.3733721647178518
SRS015206.572797	1.2898419682010336
SRS015202.573091	2.4848020482335214
SRS048690.576296	2.118901667824222
SRS048194.572491	1.7587843357784263
SRS044742.574153	2.1762783988964998
SRS022012.575639	1.3316756692108522
SRS054549.572928	1.3565620111551757
SRS021281.574127	2.2397249839831415
SRS046108.576547	1.1738995732683852
SRS021279.576189	2.7458148060937706
SRS045170.574496	1.3438569634068287
SRS017559.573537	1.663677253652096
SRS055785.575105	1.1592539267994428
SRS043921.574239	3.7613516040037998
SRS063221.570646	1.0744214083738914
SRS014444.571219	1.3331809965122592
SRS016555.573471	2.2273846025394226
SRS063059.571810	1.4550394955248804
SRS015013.570911	2.459684481551802
SRS057746.573159	4.515568850929354
SRS014548.573367	0.5132127044340875
SRS014837.571544	1.218788798753387
SRS024310.571669	1.1138815770219779
SRS011684.571191	1.9748901235445424
SRS014448.574221	1.2660109441703449
SRS014839.576589	1.0794134094325762
SRS014446.573809	1.1991762032767805
SRS020030.572850	1.4316043670868266
SRS011527.573153	1.3899569699986953
SRS056678.574162	2.1853588451931345
SRS046379.571612	6.6909157926105145
SRS055673.570617	3.604025252570257
SRS017739.573206	2.471274809620441
SRS020030.576473	1.5276300171449502
SRS065644.573336	2.6613394965908044
SRS065604.572509	2.6383458297734106
SRS043395.576611	1.1181273163029353
SRS051220.572761	1.234253646990616
SRS016559.572866	2.211693228344592
SRS024310.570828	1.1214709065107107
SRS015198.571793	4.9331889312491874
SRS017673.571441	5.669580148698533
SRS015805.570680	3.2066240346404355
SRS019554.570899	3.67791205427583
SRS020198.573390	4.773382796695718
SRS064439.571860	1.9722966881888733
SRS022896.572639	2.556984524184831
SRS022900.574793	2.176281915517558
SRS023709.573131	2.2970147189821373
SRS050329.574510	2.7897390851338146
SRS022452.570321	4.658548951629352
